ve                                 VE
bir                                BIR
belediyesi                         BELEDIYESI
belediye                           BELEDIYE
ile                                ILE
tuzla                              TUZLA
icin                               ICIN
bu                                 BU
esenler                            ESENLER
baskani                            BASKANI
de                                 DE
dr                                 DR
da                                 DA
atasehir                           ATASEHIR
baskan                             BASKAN
her                                HER
olarak                             OLARAK
cok                                COK
egitim                             EGITIM
yazici                             YAZICI
kultur                             KULTUR
olan                               OLAN
sosyal                             SOSYAL
daha                               DAHA
en                                 EN
tarafindan                         TARAFINDAN
dedi                               DEDI
devam                              DEVAM
sadi                               SADI
tum                                TUM
birlikte                           BIRLIKTE
mudurlugu                          MUDURLUGU
etti                               ETTI
merkezi                            MERKEZI
yeni                               YENI
goksu                              GOKSU
sanat                              SANAT
bilgi                              BILGI
ilce                               ILCE
gibi                               GIBI
istanbul                           ISTANBUL
ilgili                             ILGILI
cocuk                              COCUK
buyuk                              BUYUK
hem                                HEM
hizmet                             HIZMET
mehmet                             MEHMET
ilk                                ILK
duzenlenen                         DUZENLENEN
isleri                             ISLERI
spor                               SPOR
kadin                              KADIN
tesekkur                           TESEKKUR
is                                 IS
eden                               EDEN
guzel                              GUZEL
oldugunu                           OLDUGUNU
yer                                YER
veya                               VEYA
esenlerde                          ESENLERDE
onemli                             ONEMLI
kapsaminda                         KAPSAMINDA
muduru                             MUDURU
ise                                ISE
saglik                             SAGLIK
ozel                               OZEL
belediyesinin                      BELEDIYESININ
ardindan                           ARDINDAN
kadar                              KADAR
tevfik                             TEVFIK
cocuklar                           COCUKLAR
aile                               AILE
destek                             DESTEK
gonul                              GONUL
cevre                              CEVRE
mahallesi                          MAHALLESI
ediyor                             EDIYOR
kent                               KENT
turk                               TURK
sekilde                            SEKILDE
genclik                            GENCLIK
biz                                BIZ
gelen                              GELEN
alan                               ALAN
zaman                              ZAMAN
sehir                              SEHIR
diger                              DIGER
yapilan                            YAPILAN
katildi                            KATILDI
iyi                                IYI
soyledi                            SOYLEDI
ramazan                            RAMAZAN
oldugu                             OLDUGU
var                                VAR
o                                  O
kurum                              KURUM
yil                                YIL
halk                               HALK
ziyaret                            ZIYARET
sonra                              SONRA
